MT-TF,ENSG00000210049
MT-RNR1,ENSG00000211459
MT-TV,ENSG00000210077
MT-RNR2,ENSG00000210082
MT-TL1,ENSG00000209082
MT-ND1,ENSG00000198888
MT-TI,ENSG00000210100
MT-TQ,ENSG00000210107
MT-TM,ENSG00000210112
MT-ND2,ENSG00000198763
MT-TW,ENSG00000210117
MT-TA,ENSG00000210127
MT-TN,ENSG00000210135
MT-TC,ENSG00000210140
MT-TY,ENSG00000210144
MT-CO1,ENSG00000198804
MT-TS1,ENSG00000210151
MT-TD,ENSG00000210154
MT-CO2,ENSG00000198712
MT-TK,ENSG00000210156
MT-ATP8,ENSG00000228253
MT-ATP6,ENSG00000198899
MT-CO3,ENSG00000198938
MT-TG,ENSG00000210164
MT-ND3,ENSG00000198840
MT-TR,ENSG00000210174
MT-ND4L,ENSG00000212907
MT-ND4,ENSG00000198886
MT-TH,ENSG00000210176
MT-TS2,ENSG00000210184
MT-TL2,ENSG00000210191
MT-ND5,ENSG00000198786
MT-ND6,ENSG00000198695
MT-TE,ENSG00000210194
MT-CYB,ENSG00000198727
MT-TT,ENSG00000210195
MT-TP,ENSG00000210196
RN7SL291P,ENSG00000242065
RNA5SP165,ENSG00000252951
RN7SL8P,ENSG00000243352
RN7SL12P,ENSG00000239553
RNU7-54P,ENSG00000238590
AL009175.1,ENSG00000199567
RN7SL602P,ENSG00000264352
AC092115.1,ENSG00000252443
RN7SL19P,ENSG00000243532
AC008810.1,ENSG00000212567
SNORD6,ENSG00000202314
RNU6-888P,ENSG00000199880
SNORA77,ENSG00000221643
RN7SL849P,ENSG00000243115
RN7SL525P,ENSG00000264910
AP002848.1,ENSG00000252852
RN7SKP234,ENSG00000252982
AC002981.1,ENSG00000206795
RNU6-53P,ENSG00000202237
RNU6-1265P,ENSG00000252151
RNU4-37P,ENSG00000222146
RNA5SP488,ENSG00000201812
RN7SKP235,ENSG00000222594
CR589951.1,ENSG00000206779
AL049692.2,ENSG00000273908
RNY1P2,ENSG00000201690
AP003031.1,ENSG00000199362
AC140119.1,ENSG00000200052
GU182345.5,ENSG00000277551
RN7SL200P,ENSG00000265123
AC012354.6,ENSG00000276670
RN7SL531P,ENSG00000264071
RNU7-188P,ENSG00000252872
RNU6-760P,ENSG00000251887
RNU6-955P,ENSG00000222429
RN7SKP2,ENSG00000252812
RNU1-148P,ENSG00000207201
RN7SL771P,ENSG00000240173
RNU6-706P,ENSG00000253038
RNU6-643P,ENSG00000206745
RNU6-1045P,ENSG00000252130
SNORD71,ENSG00000223224
AP003041.3,ENSG00000274197
AC063961.1,ENSG00000277563
RNA5SP202,ENSG00000201185
RNA5SP469,ENSG00000201035
RNU6-168P,ENSG00000251998
RNU6-395P,ENSG00000202532
RN7SKP219,ENSG00000252634
RN7SKP149,ENSG00000199878
RNU6-1038P,ENSG00000252325
RN7SL748P,ENSG00000239964
RN7SKP48,ENSG00000201901
RN7SL23P,ENSG00000240823
SNORD117,ENSG00000265116
SNORA17B,ENSG00000280496
RN7SL135P,ENSG00000241964
AC092960.1,ENSG00000251730
RN7SKP21,ENSG00000252312
AC243913.1,ENSG00000278003
RN7SKP225,ENSG00000222337
RNU6-573P,ENSG00000206665
AF111167.3,ENSG00000283519
FO681491.2,ENSG00000276183
AC008128.1,ENSG00000212448
RN7SL443P,ENSG00000241229
AC069157.2,ENSG00000251942
AC005389.1,ENSG00000252305
RNA5SP130,ENSG00000201301
RNA5SP89,ENSG00000222232
AL354980.1,ENSG00000252682
AC010336.7,ENSG00000285674
RNU6-562P,ENSG00000199601
AC090518.2,ENSG00000276696
AC019117.1,ENSG00000199473
AC099537.1,ENSG00000252409
AC068631.2,ENSG00000275696
RNU6-880P,ENSG00000207256
AC012640.2,ENSG00000252341
RNU4-66P,ENSG00000202069
RNU6-739P,ENSG00000212340
AC104305.1,ENSG00000251986
RNA5SP350,ENSG00000200168
RN7SKP17,ENSG00000223174
RN7SL198P,ENSG00000264036
RNU6-738P,ENSG00000207261
RNU6-887P,ENSG00000222592
AL137060.1,ENSG00000273541
AC139667.1,ENSG00000199591
SNORA6,ENSG00000206760
AC026894.1,ENSG00000202276
RNU6-1231P,ENSG00000252994
RN7SL484P,ENSG00000241588
AC097525.1,ENSG00000199203
RNU6ATAC24P,ENSG00000252620
RNY3P5,ENSG00000206854
SNORD36C,ENSG00000252542
RNU6-136P,ENSG00000207393
RNU6-227P,ENSG00000199735
RNU6-1172P,ENSG00000202095
RNU6-828P,ENSG00000201746
RNU6-752P,ENSG00000252185
RN7SKP182,ENSG00000222704
AL669914.3,ENSG00000278104
AC211486.8,ENSG00000275930
AL391647.2,ENSG00000238426
RN7SL237P,ENSG00000264767
SNORD46,ENSG00000200913
AL139405.1,ENSG00000278100
AC107055.1,ENSG00000206711
RNU6-254P,ENSG00000200247
RNA5SP112,ENSG00000251746
RNU6-1053P,ENSG00000251739
RNU6-1025P,ENSG00000222561
RN7SL390P,ENSG00000241785
RN7SL607P,ENSG00000278525
AC097658.1,ENSG00000200049
RNA5SP328,ENSG00000222740
RN7SL170P,ENSG00000241821
RNU6-204P,ENSG00000199335
RNU6-1155P,ENSG00000200424
RN7SL628P,ENSG00000277467
RN7SKP114,ENSG00000222259
AC114876.1,ENSG00000276890
AL137247.1,ENSG00000212293
SNORD116-6,ENSG00000207442
RNU6-55P,ENSG00000278853
RNA5SP36,ENSG00000222129
RNU6-91P,ENSG00000272439
AL096709.1,ENSG00000221345
AC099850.1,ENSG00000207235
RNU6-1148P,ENSG00000222924
SNORA79B,ENSG00000222489
RN7SL50P,ENSG00000242985
AC055845.1,ENSG00000273725
RN7SL558P,ENSG00000243260
RNA5SP435,ENSG00000200914
AP000577.1,ENSG00000206913
RNU6-296P,ENSG00000207338
AC104411.1,ENSG00000201778
RN7SL236P,ENSG00000243870
RNA5SP234,ENSG00000200786
RNA5SP347,ENSG00000199315
RNU4-61P,ENSG00000223175
CR753819.1,ENSG00000263467
RNA5SP173,ENSG00000201727
SNORD36A,ENSG00000199744
AL805917.1,ENSG00000264415
RN7SL52P,ENSG00000264002
RNU6-964P,ENSG00000252333
RNU1-155P,ENSG00000252135
RNA5SP84,ENSG00000201610
AL772161.1,ENSG00000201451
RNVU1-32,ENSG00000207110
RNU1-18P,ENSG00000199932
RNA5SP368,ENSG00000201168
RNU4-14P,ENSG00000222790
RNU2-43P,ENSG00000222238
SNORD125,ENSG00000239127
RNU4-83P,ENSG00000222795
RN7SL822P,ENSG00000239545
RNA5SP135,ENSG00000252828
RNU7-161P,ENSG00000253098
AL137060.2,ENSG00000273612
RN7SL248P,ENSG00000274186
RN7SL124P,ENSG00000242113
SNORD3D,ENSG00000281000
RN7SL769P,ENSG00000276956
RNU6-1240P,ENSG00000202025
AL133244.1,ENSG00000206951
SNORD45C,ENSG00000206620
RN7SKP68,ENSG00000222987
RN7SL318P,ENSG00000242079
RNU6-720P,ENSG00000252172
AC023830.4,ENSG00000278700
RNU6-835P,ENSG00000252783
AL138963.2,ENSG00000253051
RNA5SP415,ENSG00000253055
SERTAD4,ENSG00000281230
RNU6-632P,ENSG00000251711
RN7SL7P,ENSG00000266794
RNU6-956P,ENSG00000239030
RNU6-405P,ENSG00000252446
RNU6-935P,ENSG00000222303
SNORD114-13,ENSG00000201247
AC136611.1,ENSG00000200652
RNU1-32P,ENSG00000200807
MIR3972,ENSG00000266634
AC022415.1,ENSG00000199444
AL109954.1,ENSG00000200208
AF111168.1,ENSG00000212371
AC016596.2,ENSG00000238326
RN7SL165P,ENSG00000241188
RN7SL280P,ENSG00000244671
RNU6-1225P,ENSG00000252145
MIR553,ENSG00000207750
AC105398.1,ENSG00000200283
SNORD14C,ENSG00000202252
SNORD62B,ENSG00000231587
AL807743.1,ENSG00000239080
SNORA70,ENSG00000207165
RNU6-1319P,ENSG00000212157
MIR205,ENSG00000284485
AC080038.1,ENSG00000207382
RNU6-1146P,ENSG00000252091
AL158209.1,ENSG00000273566
SNORA80A,ENSG00000200792
BX005439.1,ENSG00000265509
RNU1-64P,ENSG00000202313
RN7SL856P,ENSG00000276653
MIR26A2,ENSG00000207789
RNU6-429P,ENSG00000207312
AC004080.15,ENSG00000278592
AC012358.2,ENSG00000206964
SNORD41,ENSG00000209702
MIR665,ENSG00000283159
RN7SL573P,ENSG00000239607
MIR412,ENSG00000199012
AL390119.1,ENSG00000201987
RNU6-359P,ENSG00000202336
RNU6-116P,ENSG00000206769
RNU6-742P,ENSG00000202159
RNU6-527P,ENSG00000200295
AL157838.2,ENSG00000206959
RNU7-194P,ENSG00000238721
AC016876.1,ENSG00000201489
MIR4538,ENSG00000263413
RN7SL847P,ENSG00000265319
AC012377.1,ENSG00000200305
AC104843.3,ENSG00000285912
RN7SL238P,ENSG00000276891
RN7SL246P,ENSG00000265093
RNA5SP138,ENSG00000201968
RN7SL697P,ENSG00000264484
RNA5SP64,ENSG00000207341
RNA5SP244,ENSG00000212238
MIR4509-2,ENSG00000266039
RN7SL853P,ENSG00000274350
RNU6-216P,ENSG00000200152
RNU4-50P,ENSG00000201231
AL121924.1,ENSG00000212517
RNU6-778P,ENSG00000200139
RNU6-184P,ENSG00000252323
RN7SL462P,ENSG00000276522
MIR5572,ENSG00000284059
RNU5E-3P,ENSG00000251722
AL392105.1,ENSG00000223188
PADI1,ENSG00000281459
MIR549A,ENSG00000208003
AC113410.1,ENSG00000199677
RN7SL323P,ENSG00000241997
AC092324.1,ENSG00000199474
Z99774.2,ENSG00000275942
RN7SL523P,ENSG00000243976
RNA5SP446,ENSG00000251764
MIR193A,ENSG00000207614
RN7SL680P,ENSG00000275337
AC116622.1,ENSG00000277374
RNA5SP407,ENSG00000222207
RNA5-8SN3,ENSG00000275215
MIR4429,ENSG00000264010
AL162739.1,ENSG00000200174
RNU7-129P,ENSG00000251937
AC006517.1,ENSG00000199912
SNORD114-17,ENSG00000201569
SNORD115-16,ENSG00000200757
RNA5SP206,ENSG00000252512
MIR4267,ENSG00000265682
VTRNA2-2P,ENSG00000251900
RNA5SP389,ENSG00000199480
RCC2-AS1,ENSG00000281391
MIR6810,ENSG00000278524
RNU6-1303P,ENSG00000201711
RNU6-1133P,ENSG00000222895
RNU6-234P,ENSG00000202099
RNA5SP485,ENSG00000201923
RCC2,ENSG00000281540
RNU6-751P,ENSG00000252191
MIR941-2,ENSG00000216141
RN7SKP239,ENSG00000201684
RNA5SP278,ENSG00000252864
ST13P19,ENSG00000281067
VSTM1,ENSG00000275330
RNU6-340P,ENSG00000200875
RNU6-1130P,ENSG00000202304
AC091133.2,ENSG00000238804
AL627230.2,ENSG00000275904
MIR885,ENSG00000216135
RNU6-687P,ENSG00000252252
RNU6-1331P,ENSG00000200528
SNORA58B,ENSG00000201129
RNU6-19P,ENSG00000207449
MIR196B,ENSG00000283745
RN7SKP63,ENSG00000200057
RNA5SP307,ENSG00000199733
AL929581.1,ENSG00000264389
AP000967.1,ENSG00000199962
RNU6-9,ENSG00000207507
RN7SL577P,ENSG00000265942
MIR3610,ENSG00000283956
RN7SKP19,ENSG00000251825
RNU2-45P,ENSG00000251877
SNORA75,ENSG00000206885
AC131235.1,ENSG00000207351
MIR1302-7,ENSG00000221768
CR753309.2,ENSG00000265983
RN7SKP190,ENSG00000251888
AL109925.6,ENSG00000278287
AC012572.4,ENSG00000273770
MIRLET7F1,ENSG00000199072
AC004918.3,ENSG00000262656
CR788250.3,ENSG00000263971
RN7SL252P,ENSG00000244318
RN7SKP119,ENSG00000222685
RNU6-1199P,ENSG00000223181
MIR361,ENSG00000199051
SNORD116-3,ENSG00000207014
AC134026.1,ENSG00000271922
RNU6-1258P,ENSG00000276881
RNA5SP86,ENSG00000212171
RNU6-1062P,ENSG00000206635
AC007435.1,ENSG00000277948
MIR513C,ENSG00000216171
AC034186.1,ENSG00000199815
